IATA_CODE,CITY
ABE,Allentown
ABI,Abilene
ABQ,Albuquerque
ABR,Aberdeen
ABY,Albany
ACK,Nantucket
ACT,Waco
ACV,Arcata/Eureka
ACY,Atlantic City
ADK,Adak
ADQ,Kodiak
AEX,Alexandria
AGS,Augusta
AKN,King Salmon
ALB,Albany
ALO,Waterloo
AMA,Amarillo
ANC,Anchorage
APN,Alpena
ASE,Aspen
ATL,Atlanta
ATW,Appleton
AUS,Austin
AVL,Asheville
AVP,Wilkes-Barre/Scranton
AZO,Kalamazoo
BDL,Windsor Locks
BET,Bethel
BFL,Bakersfield
BGM,Binghamton
BGR,Bangor
BHM,Birmingham
BIL,Billings
BIS,Bismarck
BJI,Bemidji
BLI,Bellingham
BMI,Bloomington
BNA,Nashville
BOI,Boise
BOS,Boston
BPT,Beaumont/Port Arthur
BQK,Brunswick
BQN,Aguadilla
BRD,Brainerd
BRO,Brownsville
BRW,Barrow
BTM,Butte
BTR,Baton Rouge
BTV,Burlington
BUF,Buffalo
BUR,Burbank
BWI,Baltimore
BZN,Bozeman
CAE,Columbia
CAK,Akron
CDC,Cedar City
CDV,Cordova
CEC,Crescent City
CHA,Chattanooga
CHO,Charlottesville
CHS,Charleston
CID,Cedar Rapids
CIU,Sault Ste. Marie
CLD,San Diego
CLE,Cleveland
CLL,College Station
CLT,Charlotte
CMH,Columbus
CMI,Champaign/Urbana
CMX,Hancock
CNY,Moab
COD,Cody
COS,Colorado Springs
COU,Columbia
CPR,Casper
CRP,Corpus Christi
CRW,Charleston
CSG,Columbus
CVG,Covington
CWA,Mosinee
DAB,Daytona Beach
DAL,Dallas
DAY,Dayton
DBQ,Dubuque
DCA,Arlington
DEN,Denver
DFW,Dallas-Fort Worth
DHN,Dothan
DIK,Dickinson
DLG,Dillingham
DLH,Duluth
DRO,Durango
DSM,Des Moines
DTW,Detroit
DVL,Devils Lake
EAU,Eau Claire
ECP,Panama City
EGE,Eagle
EKO,Elko
ELM,Elmira
ELP,El Paso
ERI,Erie
ESC,Escanaba
EUG,Eugene
EVV,Evansville
EWN,New Bern
EWR,Newark
EYW,Key West
FAI,Fairbanks
FAR,Fargo
FAT,Fresno
FAY,Fayetteville
FCA,Kalispell
FLG,Flagstaff
FLL,Ft. Lauderdale
FNT,Flint
FSD,Sioux Falls
FSM,Fort Smith
FWA,Fort Wayne
GCC,Gillette
GCK,Garden City
GEG,Spokane
GFK,Grand Forks
GGG,Longview
GJT,Grand Junction
GNV,Gainesville
GPT,Gulfport-Biloxi
GRB,Green Bay
GRI,Grand Island
GRK,Killeen
GRR,Grand Rapids
GSO,Greensboro
GSP,Greer
GST,Gustavus
GTF,Great Falls
GTR,Columbus-Starkville-West Point
GUC,Gunnison
GUM,Agana
HDN,Hayden
HIB,Hibbing
HLN,Helena
HNL,Honolulu
HOB,Hobbs
HOU,Houston
HPN,White Plains
HRL,Harlingen
HSV,Huntsville
HYA,Hyannis
HYS,Hays
IAD,Chantilly
IAG,Niagara Falls
IAH,Houston
ICT,Wichita
IDA,Idaho Falls
ILG,Wilmington
ILM,Wilmington
IMT,Iron Mountain/Kingsford
IND,Indianapolis
INL,International Falls
ISN,Williston
ISP,Islip
ITH,Ithaca
ITO,Hilo
JAC,Jackson
JAN,Jackson
JAX,Jacksonville
JFK,New York
JLN,Joplin
JMS,Jamestown
JNU,Juneau
KOA,Kailua/Kona
KTN,Ketchikan
LAN,Lansing
LAR,Laramie
LAS,Las Vegas
LAW,Lawton
LAX,Los Angeles
LBB,Lubbock
LBE,Latrobe
LCH,Lake Charles
LEX,Lexington
LFT,Lafayette
LGA,New York
LGB,Long Beach
LIH,Lihue
LIT,Little Rock
LNK,Lincoln
LRD,Laredo
LSE,La Crosse
LWS,Lewiston
MAF,Midland
MBS,Saginaw
MCI,Kansas City
MCO,Orlando
MDT,Harrisburg
MDW,Chicago
MEI,Meridian
MEM,Memphis
MFE,McAllen
MFR,Medford
MGM,Montgomery
MHK,Manhattan
MHT,Manchester
MIA,Miami
MKE,Milwaukee
MKG,Muskegon
MLB,Melbourne
MLI,Moline
MLU,Monroe
MMH,Mammoth Lakes
MOB,Mobile
MOT,Minot
MQT,Marquette
MRY,Monterey
MSN,Madison
MSO,Missoula
MSP,Minneapolis
MSY,New Orleans
MTJ,Montrose
MVY,Marthas Vineyard
MYR,Myrtle Beach
OAJ,Jacksonville
OAK,Oakland
OGG,Kahului
OKC,Oklahoma City
OMA,Omaha
OME,Nome
ONT,Ontario
ORD,Chicago
ORF,Norfolk
ORH,Worcester
OTH,North Bend
OTZ,Kotzebue
PAH,Paducah
PBG,Plattsburgh
PBI,West Palm Beach
PDX,Portland
PHF,Newport News
PHL,Philadelphia
PHX,Phoenix
PIA,Peoria
PIB,Hattiesburg-Laurel
PIH,Pocatello
PIT,Pittsburgh
PLN,Pellston
PNS,Pensacola
PPG,Pago Pago
PSC,Pasco
PSE,Ponce
PSG,Petersburg
PSP,Palm Springs
PUB,Pueblo
PVD,Providence
PWM,Portland
RAP,Rapid City
RDD,Redding
RDM,Redmond
RDU,Raleigh
RHI,Rhinelander
RIC,Richmond
RKS,Rock Springs
RNO,Reno
ROA,Roanoke
ROC,Rochester
ROW,Roswell
RST,Rochester
RSW,Ft. Myers
SAF,Santa Fe
SAN,San Diego
SAT,San Antonio
SAV,Savannah
SBA,Santa Barbara
SBN,South Bend
SBP,San Luis Obispo
SCC,Deadhorse
SCE,State College
SDF,Louisville
SEA,Seattle
SFO,San Francisco
SGF,Springfield
SGU,St George
SHV,Shreveport
SIT,Sitka
SJC,San Jose
SJT,San Angelo
SJU,San Juan
SLC,Salt Lake City
SMF,Sacramento
SMX,Santa Maria
SNA,Santa Ana
SPI,Springfield
SPS,Wichita Falls
SRQ,Sarasota
STC,St Cloud
STL,St Louis
STT,Charlotte Amalie
STX,Christiansted
SUN,Hailey
SUX,Sioux City
SWF,Newburgh
SYR,Syracuse
TLH,Tallahassee
TOL,Toledo
TPA,Tampa
TRI,Bristol
TTN,Trenton
TUL,Tulsa
TUS,Tucson
TVC,Traverse City
TWF,Twin Falls
TXK,Texarkana
TYR,Tyler
TYS,Knoxville
UST,St. Augustine
VEL,Vernal
VLD,Valdosta
VPS,Valparaiso
WRG,Wrangell
WYS,West Yellowstone
XNA,Fayetteville/Springdale/Rogers
YAK,Yakutat
YUM,Yuma
